burst,correction_type,target,random_seed,model,roc_auc,accuracy,balanced_acc,f1_score,precision,recall,time
Burst_1,rotbasal,Behaviour,42,TabPFN,0.9137979965617259,0.7338403041825095,0.4852524262069124,0.7236193769607914,0.72705801034883,0.7338403041825095,0.7308523654937744
Burst_1,rotbasal,Behaviour,100,TabPFN,0.9313523731531653,0.7262357414448669,0.45407454648526074,0.7152333706886641,0.7161587507286634,0.7262357414448669,0.7209014892578125
Burst_1,rotbasal,Behaviour,123,TabPFN,0.9203273892994139,0.7300380228136882,0.5650623946300894,0.7177618071954673,0.7353970273517373,0.7300380228136882,0.7084178924560547
Burst_1,rotbasal,Behaviour,1234,TabPFN,0.9175511234342943,0.7414448669201521,0.5099995108809167,0.733873250927925,0.7411633245715873,0.7414448669201521,0.7259609699249268
Burst_1,rotbasal,Behaviour,123456,TabPFN,0.9347031976562955,0.7490494296577946,0.6169688106166162,0.7383082387500025,0.7360484445155566,0.7490494296577946,0.7550179958343506
Burst_1,rotdaily,Behaviour,42,TabPFN,0.8953992889400874,0.6958174904942965,0.4000510490502717,0.6705130219101414,0.6962677198858772,0.6958174904942965,0.7300043106079102
Burst_1,rotdaily,Behaviour,100,TabPFN,0.9112834890402791,0.6996197718631179,0.42369614512471654,0.6776094876886499,0.679191151054269,0.6996197718631179,0.7119541168212891
Burst_1,rotdaily,Behaviour,123,TabPFN,0.9173508474711654,0.7414448669201521,0.5447835201900426,0.7152777077387016,0.7624765742636463,0.7414448669201521,0.856675386428833
Burst_1,rotdaily,Behaviour,1234,TabPFN,0.9167144547849263,0.7186311787072244,0.4496650057548605,0.6984225801290235,0.7237082788745826,0.7186311787072244,0.7065315246582031
Burst_1,rotdaily,Behaviour,123456,TabPFN,0.9152623008545961,0.7376425855513308,0.5972163313116412,0.7133785323691048,0.7177649660738822,0.7376425855513308,0.7314481735229492
Burst_1,uncorrected,Behaviour,42,TabPFN,0.9208804704888033,0.7224334600760456,0.5958590781823806,0.7135526384935228,0.7195417965273136,0.7224334600760456,0.7081639766693115
Burst_1,uncorrected,Behaviour,100,TabPFN,0.9433242569059661,0.7832699619771863,0.5132723922902495,0.774906605165285,0.7714975125715308,0.7832699619771863,0.7404980659484863
Burst_1,uncorrected,Behaviour,123,TabPFN,0.9364000642762169,0.7490494296577946,0.5740981123308243,0.7354616322467363,0.7553000559001277,0.7490494296577946,0.7368009090423584
Burst_1,uncorrected,Behaviour,1234,TabPFN,0.9282544607108757,0.7642585551330798,0.6255467613266319,0.7534093890501725,0.7648420729629087,0.7642585551330798,0.7209510803222656
Burst_1,uncorrected,Behaviour,123456,TabPFN,0.9497463626455828,0.8022813688212928,0.6622040030871786,0.791388206253259,0.8018745655995748,0.8022813688212928,0.7665026187896729
Burst_2,rotbasal,Behaviour,42,TabPFN,0.9138084216303654,0.7132216014897579,0.6333294521658577,0.6971519713494868,0.704180012820216,0.7132216014897579,1.245894432067871
